dependent_spouse,hmale,hage,dep_child,started_business,average_risk_attitude,above_average_risk_attitude,substantial_risk_attitude,college4,grad,ln_total_incomer,log_amt_loan_total_fin_w,amt_loan_total_fin_w,ln_new_worthr,log_share_risky_assets_3_w,share_risky_assets_3_w,ln_Rm_p4,vol_Rm_p4,aaa_diff
1,1,86,0,0,1,0,0,0,1,11.86917,-18.42068,0,14.51485,-.5511141,.5763074,,,
1,1,95,0,0,1,0,0,1,0,11.09392,-18.42068,0,12.81311,-2.990161,.0502793,,,
0,0,89,0,0,1,0,0,1,0,10.04015,-18.42068,0,10.92667,-2.208274,.1098901,,,
1,1,95,0,0,0,1,0,1,0,11.18923,-18.42068,0,13.68768,-.4210998,.6563246,,,
0,0,89,0,0,0,0,0,1,0,13.10975,-18.42068,0,17.11815,-2.579383,.0758208,,,
1,1,91,0,1,0,0,0,1,0,11.07152,-18.42068,0,12.65849,-18.42068,0,,,
1,1,94,0,0,0,0,0,0,1,11.13314,-18.42068,0,14.53241,-.1476185,.8627602,,,
1,1,85,0,0,1,0,0,1,0,14.0349,-18.42068,0,17.14366,-.7719584,.4621072,,,
1,1,85,0,0,0,0,0,1,0,13.37583,-18.42068,0,15.09961,-2.130902,.1187302,,,
1,1,85,0,1,0,1,0,1,0,13.13514,-18.42068,0,15.72745,-.0445872,.9563922,,,
0,0,91,0,0,0,0,0,1,0,10.03745,-18.42068,0,11.0935,-18.42068,0,,,
0,0,85,0,0,0,0,0,1,0,13.77785,-18.42068,0,16.92712,-18.42068,0,,,
1,1,85,0,0,0,1,0,0,1,11.88073,-18.42068,0,14.7838,-1.377506,.2522068,,,
0,1,94,0,0,0,1,0,1,0,13.46229,-18.42068,0,16.99292,-2.870465,.0566726,,,
1,1,88,0,0,1,0,0,0,1,11.8754,-18.42068,0,14.68786,-.6411017,.5267118,,,
0,0,85,0,1,0,1,0,1,0,16.15035,-18.42068,0,18.98621,-.0526979,.9486666,,,
0,0,88,0,0,0,0,0,0,1,12.38196,-18.42068,0,16.95646,-2.681966,.0684285,,,
1,1,85,0,0,1,0,0,0,1,11.91464,-18.42068,0,14.96286,-18.42068,0,,,
0,0,88,0,1,1,0,0,1,0,18.15188,-18.42068,0,17.07383,-18.42068,0,,,
0,0,85,0,0,1,0,0,1,0,10.6337,-18.42068,0,11.98437,-18.42068,0,,,
1,1,87,0,0,0,0,0,0,1,12.28086,-18.42068,0,15.17507,-2.439658,.0871906,,,
0,1,87,0,0,1,0,0,0,1,11.39254,-18.42068,0,14.39771,-3.200032,.0407609,,,
0,1,87,0,0,1,0,0,1,0,11.42645,-18.42068,0,13.68478,-18.42068,0,,,
1,1,84,0,0,0,1,0,0,1,13.49017,-18.42068,0,17.79718,-.5164481,.596636,,,
0,0,84,0,0,1,0,0,1,0,10.05388,-18.42068,0,12.95295,-18.42068,0,,,
1,1,87,0,0,0,0,0,1,0,12.85356,-18.42068,0,14.23685,-18.42068,0,,,
1,1,84,0,1,0,0,0,1,0,13.26415,-18.42068,0,14.93052,-1.901619,.1493267,,,
1,1,84,0,0,0,0,0,0,1,10.3052,-18.42068,0,11.54196,-18.42068,0,,,
1,1,84,0,0,1,0,0,0,1,11.10371,-18.42068,0,12.09788,-18.42068,0,,,
1,1,84,0,0,1,0,0,1,0,10.6337,-18.42068,0,12.23422,-2.450789,.0862255,,,
1,1,84,0,0,1,0,0,0,1,11.58921,-18.42068,0,14.63004,-2.443158,.0868861,,,
1,1,84,0,0,0,1,0,0,1,13.27276,-18.42068,0,18.15565,-.772848,.4616963,,,
1,1,84,0,0,1,0,0,0,1,11.34665,-18.42068,0,14.03498,-.7292472,.4822719,,,
0,0,93,0,0,0,1,0,1,0,11.0531,-18.42068,0,14.85279,-.0299471,.9704969,,,
1,1,83,0,0,1,0,0,0,1,12.71314,-18.42068,0,14.31958,-1.378766,.2518892,,,
0,1,86,0,0,1,0,0,1,0,12.90044,-18.42068,0,16.2441,-2.750309,.0639081,,,
1,1,83,0,0,0,1,0,0,1,12.77612,-18.42068,0,15.36162,-1.937919,.1440033,,,
0,0,92,0,0,0,1,0,1,0,13.86651,-18.42068,0,17.53716,-.0367176,.9639483,,,
0,0,89,0,0,1,0,0,1,0,10.52296,-18.42068,0,14.32103,-1.554227,.2113527,,,
0,0,83,0,0,0,0,0,0,1,12.9639,-18.42068,0,14.69294,-18.42068,0,,,
0,0,83,0,0,1,0,0,0,1,11.1525,-18.42068,0,12.95452,-18.42068,0,,,
0,0,95,0,0,0,0,0,1,0,8.598996,-18.42068,0,7.810539,-18.42068,0,,,
0,0,86,0,0,0,0,0,1,0,10.37662,-18.42068,0,13.17419,-18.42068,0,,,
0,0,92,0,0,0,0,0,1,0,9.379119,-18.42068,0,11.59469,-18.42068,0,,,
0,0,83,0,1,0,0,0,0,1,9.812721,-18.42068,0,10.19365,-18.42068,0,,,
0,0,83,0,0,0,0,0,1,0,12.54472,-18.42068,0,14.63666,-1.926592,.1456437,,,
1,1,86,0,1,0,1,0,1,0,14.72844,-18.42068,0,18.39854,-.4620124,.6300145,,,
0,0,89,0,0,0,0,0,0,1,9.829808,-18.42068,0,12.7455,-18.42068,0,,,
1,1,88,0,0,1,0,0,0,1,13.66179,-18.42068,0,18.86421,-.0627693,.9391601,,,
1,1,85,0,0,1,0,0,1,0,11.82074,-18.42068,0,15.26374,-1.440625,.2367798,,,
0,0,82,0,0,0,0,0,1,0,11.19902,-18.42068,0,11.86696,-18.42068,0,,,
1,1,82,0,0,0,1,0,1,0,14.03889,-18.42068,0,17.24035,-.0377403,.962963,,,
0,1,85,0,1,1,0,0,0,1,10.51015,-18.42068,0,12.49403,-2.716349,.0661157,,,
1,1,82,0,0,0,0,0,0,1,14.24678,-18.42068,0,16.73475,-4.176876,.0153464,,,
1,1,82,0,0,0,1,0,1,0,15.50431,-18.42068,0,16.89824,-.5628757,.5695688,,,
0,0,85,0,0,0,0,0,0,1,10.32783,-18.42068,0,11.8754,-18.42068,0,,,
1,1,85,0,0,1,0,0,1,0,11.18225,-18.42068,0,12.77841,-18.42068,0,,,
0,0,82,0,0,1,0,0,1,0,10.05388,-18.42068,0,11.1284,-.9409834,.3902439,,,
0,0,85,0,0,0,0,0,0,1,10.22247,-18.42068,0,10.67142,-2.309702,.0992908,,,
0,0,90,0,0,0,0,0,1,0,12.29388,-18.42068,0,17.75385,-18.42068,0,,,
1,1,84,0,0,1,0,0,0,1,15.54277,-18.42068,0,16.08827,-1.763315,.1714754,,,
1,1,84,0,0,0,0,0,0,1,11.78645,-18.42068,0,11.61306,-18.42068,0,,,
1,1,87,0,0,1,0,0,0,1,12.46336,-18.42068,0,15.80616,-1.059411,.3466599,,,
1,1,84,0,0,1,0,0,0,1,13.7472,-18.42068,0,16.0011,-2.804496,.0605373,,,
1,1,84,0,0,1,0,0,0,1,13.35555,-18.42068,0,15.88139,-.5435677,.5806729,,,
0,1,84,0,0,1,0,0,1,0,12.23738,-18.42068,0,15.51634,-.0363395,.9643129,,,
1,1,83,0,0,1,0,0,0,1,12.17629,-18.42068,0,14.60859,-1.498809,.223396,,,
0,1,95,0,0,0,1,0,0,1,14.63509,-18.42068,0,18.15136,-.090173,.9137731,,,
0,0,80,0,0,1,0,0,0,1,11.28603,-18.42068,0,15.6124,-.2311622,.7936107,,,
0,0,86,0,0,0,0,0,1,0,10.95374,-18.42068,0,12.10905,-18.42068,0,,,
0,0,83,0,0,0,1,0,0,1,15.09852,-18.42068,0,17.88761,-2.932434,.0532672,,,
0,0,83,0,0,1,0,0,0,1,9.971158,-18.42068,0,12.69808,-18.42068,0,,,
1,1,83,0,1,0,0,1,0,1,11.84296,-18.42068,0,15.98952,-.4896837,.6128202,,,
1,1,86,0,0,0,0,0,1,0,9.662754,-18.42068,0,13.66843,-.6736025,.5098684,,,
1,1,89,0,0,0,0,0,1,0,12.73097,-18.42068,0,18.64438,-3.942245,.0194046,,,
1,1,95,0,0,0,0,0,0,1,10.6878,-18.42068,0,13.0633,-.4167112,.6592113,,,
1,1,83,0,0,1,0,0,1,0,13.04583,-18.42068,0,14.88248,-18.42068,0,,,
1,1,83,0,0,0,0,0,0,1,14.16728,-18.42068,0,18.0439,-.9036664,.4050817,,,
1,1,83,0,0,1,0,0,1,0,10.79784,-18.42068,0,13.12169,-1.33075,.264279,,,
1,1,83,0,0,0,1,0,1,0,11.2033,-18.42068,0,12.8169,-.14842,.862069,,,
1,1,80,0,1,1,0,0,0,1,11.90346,-18.42068,0,15.31335,-.1640591,.8486918,,,
1,1,89,0,0,0,1,0,0,1,15.73446,-18.42068,0,18.11937,-.3219868,.7247077,,,
1,1,80,0,0,1,0,0,0,1,13.09158,-18.42068,0,17.57036,-.7853024,.4559818,,,
0,1,80,0,0,0,1,0,0,1,10.18742,-18.42068,0,12.74996,-1.427116,.24,,,
0,0,86,0,0,1,0,0,0,1,13.61923,-18.42068,0,14.45915,-.8848113,.412792,,,
0,0,83,0,0,0,0,0,1,0,10.4676,-18.42068,0,11.72655,-18.42068,0,,,
1,1,80,0,1,1,0,0,0,1,12.20232,-18.42068,0,14.42514,-4.347693,.0129366,,,
1,1,88,0,0,1,0,0,1,0,14.74197,-18.42068,0,18.05421,-.6693935,.512019,,,
0,0,85,0,0,1,0,0,1,0,11.2161,-18.42068,0,14.23201,-.6247493,.5353956,,,
0,1,85,0,0,1,0,0,1,0,11.13606,-18.42068,0,13.90878,-.5687171,.5662514,,,
1,1,85,0,0,0,0,0,0,1,10.76137,-18.42068,0,15.25488,-.1747205,.8396916,,,
1,1,91,0,0,0,0,0,0,1,15.39124,-18.42068,0,19.98631,-1.344485,.2606739,,,
1,1,82,0,0,0,0,0,1,0,10.7333,-18.42068,0,12.49116,-1.504077,.2222222,,,
0,1,85,0,0,1,0,0,0,1,11.13606,-18.42068,0,12.74966,-3.500827,.0301724,,,
0,0,85,0,0,0,0,0,0,1,10.52296,-18.42068,0,11.65931,-1.63413,.1951219,,,
0,0,79,0,0,0,0,0,0,1,9.899733,-18.42068,0,9.004062,-18.42068,0,,,
0,1,79,0,0,1,0,0,1,0,11.9687,-18.42068,0,13.80674,-.6864582,.5033557,,,
1,1,82,0,0,0,0,0,1,0,13.62182,-18.42068,0,14.75286,-1.836812,.1593245,,,
0,1,82,0,0,1,0,0,0,1,12.49689,-18.42068,0,16.07404,-18.42068,0,,,
1,1,85,0,0,0,0,0,0,1,10.52296,-18.42068,0,11.79466,-18.42068,0,,,
1,1,79,0,1,0,1,0,1,0,15.48573,-18.42068,0,18.68108,-2.941628,.0527797,,,
1,1,79,0,0,1,0,0,0,1,11.32685,-18.42068,0,13.69503,-1.056454,.3476866,,,
0,0,82,0,0,1,0,0,1,0,11.5806,-18.42068,0,14.88204,-.3631687,.6954691,,,
1,1,85,0,0,0,0,0,1,0,10.73059,-18.42068,0,13.25555,-3.353696,.0349549,,,
0,1,88,0,0,0,1,0,1,0,16.01536,-18.42068,0,18.1041,-.2809721,.7550494,,,
0,0,85,0,0,0,0,0,0,1,9.196381,-18.42068,0,13.08938,-18.42068,0,,,
1,1,79,0,0,0,0,0,1,0,11.61952,-18.42068,0,11.96025,-18.42068,0,,,
1,1,82,1,1,0,0,0,1,0,14.86043,-18.42068,0,19.05106,-2.594247,.0747021,,,
1,1,79,0,1,1,0,0,0,1,12.50858,-18.42068,0,16.61665,-.2134268,.8078113,,,
1,1,79,0,0,1,0,0,0,1,11.54196,-18.42068,0,12.81525,-18.42068,0,,,
1,1,79,0,0,0,1,0,1,0,11.93661,-18.42068,0,15.30634,-.2040592,.8154141,,,
0,1,79,0,0,1,0,0,0,1,11.66332,-18.42068,0,12.93828,-.8501509,.4273504,,,
0,1,79,0,1,0,0,1,1,0,13.81176,-18.42068,0,17.90652,-.2867334,.7507119,,,
1,1,85,0,0,1,0,0,1,0,15.28118,-18.42068,0,16.09182,-.0299471,.9704969,,,
1,1,82,0,0,1,0,0,1,0,14.30751,-18.42068,0,18.32683,-.4688555,.625718,,,
1,1,79,0,0,0,0,0,0,1,11.66332,-18.42068,0,11.92898,-3.719651,.0242424,,,
0,0,82,0,0,0,0,0,0,1,11.02098,-18.42068,0,15.54684,-3.306285,.0366521,,,
1,1,85,0,1,1,0,0,0,1,13.25632,-18.42068,0,15.57969,-1.837705,.1591823,,,
1,1,79,0,0,1,0,0,0,1,11.58921,-18.42068,0,14.29315,-18.42068,0,,,
1,1,79,0,1,1,0,0,0,1,15.42119,-18.42068,0,16.21041,-.3502024,.7045454,,,
1,1,82,0,0,0,0,0,1,0,10.27654,-18.42068,0,12.05949,-18.42068,0,,,
1,1,79,0,0,0,1,0,1,0,15.06927,-18.42068,0,16.33842,-1.244853,.2879831,,,
1,1,85,0,0,1,0,0,1,0,14.95652,-18.42068,0,16.56773,-1.529258,.2166965,,,
0,0,84,0,0,0,0,0,1,0,11.25384,-18.42068,0,13.45312,-18.42068,0,,,
1,1,78,0,0,1,0,0,0,1,12.66185,-18.42068,0,15.38107,-.2358623,.7898894,,,
1,1,81,0,0,1,0,0,1,0,10.85846,-18.42068,0,13.77429,-1.644384,.1931315,,,
1,1,84,0,1,1,0,0,0,1,11.45451,-18.42068,0,13.40367,-.7498897,.4724187,,,
1,1,90,0,0,1,0,0,1,0,11.98493,-18.42068,0,15.16385,-.2574422,.7730263,,,
1,1,78,0,1,1,0,0,1,0,15.48885,-18.42068,0,18.92044,-.0696829,.9326895,,,
1,1,84,0,0,1,0,0,1,0,10.66606,-18.42068,0,12.26207,-18.42068,0,,,
0,0,87,0,0,0,0,0,1,0,10.58309,-18.42068,0,8.098186,-18.42068,0,,,
1,1,78,0,0,1,0,0,0,1,10.84881,-18.42068,0,12.66762,-.8917496,.4099379,,,
1,1,81,0,1,1,0,0,1,0,11.77475,-18.42068,0,17.6456,-.7487857,.4729405,,,
0,1,78,0,0,1,0,0,1,0,10.97017,-18.42068,0,14.12291,-1.371528,.253719,,,
1,1,78,0,0,0,0,0,1,0,11.24347,-18.42068,0,13.98492,-18.42068,0,,,
1,1,81,0,0,1,0,0,0,1,13.0622,-18.42068,0,15.68983,-.7505581,.472103,,,
1,1,81,0,1,1,0,0,1,0,12.94887,-18.42068,0,15.01119,-1.231018,.2919951,,,
0,1,90,0,0,1,0,0,1,0,10.11312,-18.42068,0,12.55547,-18.42068,0,,,
1,1,78,0,0,0,0,0,1,0,9.676589,-18.42068,0,10.90525,-18.42068,0,,,
1,1,78,0,0,0,1,0,1,0,14.67324,-18.42068,0,17.08335,-.2595765,.7713782,,,
1,1,90,0,0,0,0,0,0,1,11.86232,-18.42068,0,15.77591,-.0563803,.9451796,,,
1,1,78,0,1,0,1,0,0,1,13.20479,-18.42068,0,16.88776,-6.282822,.0018681,,,
1,1,87,0,0,0,0,0,1,0,13.55692,-18.42068,0,17.03753,-4.733166,.0087986,,,
1,1,87,0,0,1,0,0,0,1,13.74434,-18.42068,0,16.35596,-.5970574,.5504289,,,
0,0,90,0,0,0,0,0,1,0,9.292143,-18.42068,0,7.379755,-18.42068,0,,,
1,1,84,0,0,0,0,0,1,0,11.04905,-18.42068,0,13.0597,-18.42068,0,,,
0,0,78,0,0,0,0,0,1,0,11.19902,-18.42068,0,12.90789,-.2959809,.7438017,,,
1,1,81,0,0,1,0,0,1,0,15.40613,-18.42068,0,18.35398,-.4391145,.6446069,,,
1,1,90,0,1,1,0,0,1,0,15.29209,-18.42068,0,20.44393,-18.42068,0,,,
1,1,78,0,1,0,0,1,0,1,15.06452,-18.42068,0,13.51962,-18.42068,0,,,
1,1,89,0,0,0,1,0,1,0,11.04922,-18.42068,0,14.90708,-.3599328,.6977232,,,
0,0,83,0,0,1,0,0,1,0,10.63215,-18.42068,0,13.17085,-18.42068,0,,,
1,1,83,0,0,0,1,0,0,1,12.25529,-18.42068,0,14.18908,-1.88934,.1511716,,,
1,1,80,0,0,1,0,0,0,1,12.4679,-18.42068,0,15.22156,-.6352311,.529813,,,
1,1,92,0,1,1,0,0,1,0,15.14987,-18.42068,0,19.43441,-2.089551,.1237427,,,
0,1,77,0,1,1,0,0,0,1,10.84881,-18.42068,0,12.36819,-18.42068,0,,,
1,1,83,0,0,0,1,0,0,1,12.47979,-18.42068,0,14.60245,-.0417897,.9590715,,,
0,1,80,0,0,0,0,0,1,0,10.27654,-18.42068,0,9.963989,-18.42068,0,,,
1,1,77,0,0,0,0,0,0,1,13.1514,-18.42068,0,15.78722,-.2234635,.7997441,,,
1,1,86,0,0,1,0,0,0,1,11.47235,-18.42068,0,14.50506,-1.547128,.2128584,,,
1,1,77,0,0,1,0,0,0,1,11.32685,-18.42068,0,13.5243,-2.467191,.0848228,,,
1,1,77,0,0,0,0,0,0,1,11.02574,-18.42068,0,13.45698,-18.42068,0,,,
1,1,77,0,0,1,0,0,0,1,13.27276,-18.42068,0,15.62956,-1.744843,.1746725,,,
0,0,80,0,0,1,0,0,1,0,11.37515,-18.42068,0,14.75435,-18.42068,0,,,
1,1,83,0,1,0,0,1,1,0,13.09967,-18.42068,0,16.47169,-2.190722,.111836,,,
1,1,95,0,0,0,0,0,0,1,16.39284,-18.42068,0,17.05467,-5.473926,.0041947,,,
1,1,77,0,0,1,0,0,0,1,12.42546,-18.42068,0,14.52004,-1.306952,.2706438,,,
0,0,83,0,0,0,0,0,1,0,10.63215,-18.42068,0,12.04818,-18.42068,0,,,
0,1,80,0,0,1,0,0,1,0,12.462,-18.42068,0,17.1033,-.0299471,.9704969,,,
0,0,86,0,0,1,0,0,0,1,10.76541,-18.42068,0,12.01021,-18.42068,0,,,
0,0,92,0,0,1,0,0,1,0,10.60776,-18.42068,0,13.8728,-.5670983,.5671688,,,
0,1,89,0,0,0,0,0,0,1,11.4612,-18.42068,0,14.41448,-18.42068,0,,,
1,1,80,0,0,1,0,0,0,1,12.00493,-18.42068,0,16.53441,-1.806648,.1642036,,,
0,0,95,0,0,0,0,0,1,0,11.10099,-18.42068,0,13.7662,-.6124793,.5420054,,,
0,1,95,0,0,1,0,0,1,0,10.37505,-18.42068,0,12.73402,-1.927164,.1455604,,,
0,0,89,0,0,0,0,0,1,0,8.621469,-18.42068,0,12.53349,-18.42068,0,,,
1,1,80,0,1,0,1,0,0,1,13.38888,-18.42068,0,15.98413,-.4488374,.6383699,,,
1,1,77,0,0,0,0,0,0,1,11.32685,-18.42068,0,13.3717,-18.42068,0,,,
1,1,76,0,0,1,0,0,0,1,12.76193,-18.42068,0,14.54736,-1.611997,.1994888,,,
1,1,79,0,0,0,0,1,0,1,13.69857,-18.42068,0,16.28755,-.2657032,.7666667,,,
1,1,76,0,0,1,0,0,1,0,11.32685,-18.42068,0,14.08166,-1.850028,.1572327,,,
1,1,82,0,0,1,0,0,0,1,13.35843,-18.42068,0,12.68229,-18.42068,0,,,
1,1,88,0,1,0,1,0,0,1,12.55981,-18.42068,0,16.07927,-18.42068,0,,,
1,1,79,0,0,1,0,0,1,0,11.50649,-18.42068,0,12.88545,-3.666122,.0255754,,,
1,1,82,0,1,0,0,0,0,1,15.68113,-18.42068,0,17.02072,-1.904237,.1489362,,,
1,1,76,0,0,0,0,1,1,0,14.85321,-18.42068,0,15.23338,-2.592881,.0748042,,,
0,1,79,0,0,1,0,0,0,1,15.39674,-18.42068,0,18.02976,-.0299471,.9704969,,,
0,0,79,0,0,1,0,0,1,0,11.06977,-18.42068,0,12.95612,-1.229232,.292517,,,
1,1,82,0,1,0,0,0,0,1,13.52826,-18.42068,0,15.95078,-4.933753,.0071994,,,
0,1,85,0,0,0,0,0,1,0,10.35995,-18.42068,0,13.84119,-.760289,.4675313,,,
1,1,85,0,1,1,0,0,0,1,16.95299,-18.42068,0,19.08803,-.194809,.8229918,,,
1,1,79,0,0,0,0,0,1,0,10.99566,-18.42068,0,12.50768,-2.559691,.0773286,,,
1,1,79,2,0,0,1,0,0,1,11.49098,-18.42068,0,13.0799,-1.512927,.2202643,,,
1,1,76,0,0,0,1,0,1,0,10.97017,-18.42068,0,12.57388,-2.00148,.1351351,,,
1,1,79,0,1,0,0,0,0,1,13.78887,-18.42068,0,16.42831,-2.156426,.1157381,,,
1,1,76,0,0,0,0,0,0,1,11.32685,-18.42068,0,13.13153,-5.267341,.0051573,,,
1,1,88,0,0,0,0,0,1,0,11.02941,-18.42068,0,9.818752,-18.42068,0,,,
0,1,82,0,0,0,0,0,1,0,8.746464,-18.42068,0,11.69448,-18.42068,0,,,
0,0,82,0,0,0,0,0,0,1,9.749765,-18.42068,0,12.93474,-18.42068,0,,,
1,1,91,0,0,1,0,0,1,0,11.47859,-18.42068,0,14.79404,-.657301,.5182482,,,
0,0,79,0,0,0,0,1,1,0,12.86943,-18.42068,0,13.41432,-18.42068,0,,,
0,0,88,0,0,1,0,0,0,1,10.4496,-18.42068,0,12.48197,-.7647008,.4654731,,,
1,1,79,1,1,0,0,0,0,1,11.75094,-18.42068,0,14.8706,-2.948641,.0524109,,,
0,0,94,0,0,0,0,0,0,1,12.20497,-18.42068,0,15.01495,-1.185505,.3055917,,,
0,0,82,0,0,1,0,0,1,0,10.84838,-18.42068,0,12.227,-18.42068,0,,,
1,1,85,0,0,1,0,0,0,1,13.3965,-18.42068,0,17.10086,-.2626315,.7690252,,,
0,1,76,0,0,0,1,0,1,0,11.79685,-18.42068,0,14.12778,-1.901947,.1492777,,,
0,1,79,0,0,0,0,0,1,0,10.51015,-18.42068,0,12.63042,-1.94591,.1428571,,,
1,1,79,0,0,1,0,0,0,1,10.76609,-18.42068,0,13.23145,-18.42068,0,,,
1,1,79,0,0,0,1,0,1,0,11.24412,-18.42068,0,13.56651,-.3099327,.7334963,,,
1,1,79,0,0,0,0,0,0,1,10.96969,-18.42068,0,11.75094,-18.42068,0,,,
0,0,79,0,0,0,0,0,0,1,10.82861,-18.42068,0,11.8308,-18.42068,0,,,
1,1,76,0,1,0,0,0,1,0,14.91037,-18.42068,0,17.7487,-2.956027,.0520252,,,
0,1,84,0,0,0,1,0,1,0,11.69275,-18.42068,0,15.3566,-.2803019,.7555556,,,
1,1,84,0,1,1,0,0,0,1,16.5171,-18.42068,0,16.88754,-.1193468,.8875,,,
1,1,78,0,1,1,0,0,1,0,13.43912,-18.42068,0,17.13418,-.8583813,.4238476,,,
0,0,75,0,0,1,0,0,1,0,11.74556,-18.42068,0,13.67918,-1.27967,.278129,,,
0,0,90,0,0,0,0,0,1,0,11.70637,-18.42068,0,16.11625,-.2939808,.7452908,,,
1,1,75,0,0,1,0,0,1,0,11.26497,-18.42068,0,13.41884,-8.716147,.0001639,,,
1,1,75,0,0,1,0,0,1,0,11.67751,-18.42068,0,14.39676,-.332496,.7171315,,,
1,1,78,0,0,1,0,0,0,1,10.7333,-18.42068,0,13.05241,-18.42068,0,,,
1,1,75,0,0,1,0,0,1,0,13.47861,-18.42068,0,16.0436,-1.69311,.1839465,,,
0,0,75,0,0,0,0,0,1,0,10.71066,-18.42068,0,12.66684,-.0299471,.9704969,,,
1,1,78,0,0,1,0,0,0,1,13.62737,-18.42068,0,16.86744,-.9699354,.3791075,,,
1,1,75,0,1,0,0,0,0,1,11.42216,-18.42068,0,13.42241,-18.42068,0,,,
1,1,78,0,0,1,0,0,1,0,13.75697,-18.42068,0,15.83447,-.5954314,.5513247,,,
0,0,78,0,0,1,0,0,1,0,12.69808,-18.42068,0,15.59479,-18.42068,0,,,
0,0,78,0,0,1,0,0,0,1,10.88745,-18.42068,0,12.4197,-.9082586,.4032258,,,
1,1,75,0,1,0,1,0,0,1,14.79259,-18.42068,0,17.10419,-1.11637,.3274662,,,
1,1,75,0,0,0,0,0,1,0,11.9687,-18.42068,0,14.34979,-.7758321,.4603206,,,
1,1,81,0,0,1,0,0,0,1,11.37573,-18.42068,0,16.14968,-.7841298,.4565168,,,
1,1,81,0,1,1,0,0,0,1,12.76612,-18.42068,0,17.39676,-18.42068,0,,,
1,1,78,0,0,1,0,0,0,1,10.91562,-18.42068,0,12.81274,-3.84303,.0214286,,,
1,1,78,0,1,0,1,0,0,1,14.6319,-18.42068,0,17.00549,-.2983464,.7420442,,,
1,1,78,0,0,1,0,0,0,1,11.16074,-18.42068,0,13.50609,-18.42068,0,,,
1,1,81,0,1,0,1,0,0,1,12.27549,-18.42068,0,15.53855,-.4760478,.6212338,,,
0,0,75,0,0,0,0,0,1,0,9.979775,-18.42068,0,-8.849911,-18.42068,0,,,
